src_ip,dst_ip,protocol,flow_duration,total_fwd_packets,total_bwd_packets,packet_length_mean,flow_bytes_s,flow_packets_s,fwd_iat_mean,bwd_iat_mean,timestamp,label
192.168.1.39,10.0.0.25,ICMP,312949,275,139,1291.0242304707497,170804.29775660727,185.97920846303327,19784.100034901705,2368.4515163646447,2023-01-01 00:00:00,PortScan
192.168.1.29,10.0.0.45,TCP,193094,442,229,692.7974389999214,34521.63405840828,627.0289013134891,9430.757964648328,9799.740145860893,2023-01-01 00:00:01,Malware
192.168.1.15,10.0.0.19,TCP,377944,279,274,400.9999617273595,54265.54525345678,1457.975856022337,28082.065031685706,29097.600131647647,2023-01-01 00:00:02,WebAttack
192.168.1.43,10.0.0.46,UDP,860446,251,439,370.2291161447256,57196.757276747056,258.8352321023556,34640.72688406118,39305.98627470881,2023-01-01 00:00:03,BENIGN
192.168.1.8,10.0.0.36,ICMP,1981,310,50,729.6910281374862,54254.753727049545,2530.1537323209204,26606.460890375118,8463.210624547284,2023-01-01 00:00:04,BENIGN
192.168.1.21,10.0.0.45,UDP,309609,208,398,1331.3789938087493,171096.09160464717,2154.300624112836,21712.400593873175,5428.659333274651,2023-01-01 00:00:05,BENIGN
192.168.1.39,10.0.0.8,TCP,521244,321,118,573.7378967071439,6473.770562197563,2830.9573782748357,19367.283709413765,37464.768737101964,2023-01-01 00:00:06,BENIGN
192.168.1.19,10.0.0.29,TCP,79311,140,202,1127.0913627074794,15312.387797256783,2080.7072509861173,42084.74671308209,15258.611368533948,2023-01-01 00:00:07,BENIGN
192.168.1.23,10.0.0.32,ICMP,156178,280,483,154.25990917095572,54855.58263891775,2821.2637154142944,10969.183885198438,47575.0204619284,2023-01-01 00:00:08,BENIGN
192.168.1.11,10.0.0.44,TCP,303442,34,393,719.324486205082,40054.60763242379,1663.9831545172042,36711.18275810391,35716.18421254804,2023-01-01 00:00:09,BruteForce
192.168.1.11,10.0.0.18,ICMP,887181,309,483,1487.612349185176,46448.736815181386,1801.0556145748462,37874.35875468121,16338.4756061043,2023-01-01 00:00:10,BENIGN
192.168.1.24,10.0.0.6,UDP,425759,392,395,1157.952326160582,159608.84353173466,2930.9361928241565,20960.581163529452,14477.847846937453,2023-01-01 00:00:11,BENIGN
192.168.1.36,10.0.0.18,ICMP,227303,18,191,323.68744777651335,112669.00611902017,1926.7453114459167,14865.732660682741,26185.395615179183,2023-01-01 00:00:12,SQLInjection
192.168.1.40,10.0.0.19,ICMP,719946,57,364,757.1477958098869,1253.5551924643019,93.32892001337905,23527.603760812715,3958.154269242193,2023-01-01 00:00:13,WebAttack
192.168.1.24,10.0.0.22,TCP,661337,112,460,358.10089783636414,85921.62086426863,2171.684527114939,4661.603080709032,5884.707955752304,2023-01-01 00:00:14,Malware
192.168.1.3,10.0.0.37,TCP,39653,5,323,620.2457816211388,81636.19687738676,2716.5006077201097,2297.4556814222697,8793.71820792831,2023-01-01 00:00:15,PortScan
192.168.1.22,10.0.0.32,ICMP,507453,410,181,1172.3251953650974,22877.65936196425,2386.9451691331856,5581.048369395137,38736.404941634704,2023-01-01 00:00:16,BENIGN
192.168.1.2,10.0.0.41,TCP,398238,414,423,1159.1249747827014,135260.7435414313,1751.9159846036425,9358.064428079846,25693.354106096853,2023-01-01 00:00:17,BENIGN
192.168.1.24,10.0.0.3,TCP,660146,182,78,349.86956307455387,140449.22795706027,2014.2392357674555,25209.33684008181,529.3455715993725,2023-01-01 00:00:18,BENIGN
192.168.1.44,10.0.0.28,TCP,32866,13,440,1384.1127440507416,144206.55448851432,2970.5851759657635,42456.982671419944,33676.15285707798,2023-01-01 00:00:19,BENIGN
192.168.1.30,10.0.0.10,ICMP,818538,339,412,892.9265923195919,145721.34201716256,272.89560343950563,11782.880957652349,21185.085242846195,2023-01-01 00:00:20,BENIGN
192.168.1.38,10.0.0.35,TCP,555810,285,75,576.0871935334017,110.56010376613054,2002.0672410710854,46758.16537532816,25543.107395824933,2023-01-01 00:00:21,Malware
192.168.1.2,10.0.0.29,ICMP,274449,259,295,757.8840153634824,190788.76868895977,850.9096860172109,47745.440538841234,10706.598054403365,2023-01-01 00:00:22,BENIGN
192.168.1.21,10.0.0.15,TCP,479906,90,281,911.5561676222381,162860.33253422714,1920.631099361924,47945.27133765542,27589.55963747679,2023-01-01 00:00:23,BENIGN
