Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,5710825,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,2.101272583,0.700424194,1903608.333,3072161.563,5447784,26,5710825,2855412.5,3666166.934,5447784,263041,0,0.0,0.0,0,0,0,0,0,0,72,32,0.525318146,0.175106049,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,8192,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
2383,1,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,4000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,48,0,2000000.0,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
37,71,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,225352.1127,56338.02817,23.66666667,23.54428452,48,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,48,40,28169.01408,28169.01408,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,2009147,2,2,111,237,56,55,55.5,0.707106781,120,117,118.5,2.121320344,173.207834,1.990894643,669715.6667,1098407.424,1937968,23306,1985841,1985841.0,0.0,1985841,1985841,1961274,1961274.0,0.0,1961274,1961274,0,0,0,0,40,40,0.995447322,0.995447322,55,120,80.8,34.43399483,1185.7,0,0,0,0,0,0,0,0,1,101.0,55.5,118.5,40,0,0,0,0,0,0,2,111,2,237,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5354,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,2241.314905,373.5524841,5354.0,0.0,5354,5354,5354,5354.0,0.0,5354,5354,0,0.0,0.0,0,0,0,0,0,0,40,0,373.5524841,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,84469,2,2,84,274,42,42,42.0,0.0,137,137,137.0,0.0,4238.241248,47.35465082,28156.33333,48764.7358,84465,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,23.67732541,23.67732541,42,137,80.0,52.03364296,2707.5,0,0,0,0,0,0,0,0,1,100.0,42.0,137.0,64,0,0,0,0,0,0,2,84,2,274,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
444,119993844,3813,3811,1752551,22866,1271,6,459.6252295,246.7309368,6,6,6.0,0.0,14795.9007,63.53659276,15741.02637,23598.93704,841617,1,120000000,31477.9234,26457.84929,861387,93,120000000,31485.6021,25623.9489,842050,519,0,0,0,0,76260,76220,31.77663014,31.75996262,6,1271,232.8423607,286.1621682,81888.78653,0,0,0,0,1,0,0,0,0,232.8729014,459.6252295,6.0,76260,0,0,0,0,0,0,3813,1752551,3811,22866,3294,3294,3812,20,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
53,249,2,2,90,172,45,45,45.0,0.0,86,86,86.0,0.0,1052208.835,16064.25703,83.0,58.88972746,151,49,49,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0,0,0,80,80,8032.128514,8032.128514,45,86,61.4,22.45662486,504.3,0,0,0,0,0,0,0,0,1,76.75,45.0,86.0,80,0,0,0,0,0,0,2,90,2,172,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,6030748,8,6,374,4875,193,0,46.75,72.45244746,1689,2,812.5,802.6939018,870.372962,2.321436744,463903.6923,1582824.881,5728920,4,6030748,861535.4286,2147857.214,5728920,4,75052,15010.4,19535.7318,39859,51,0,0,0,0,172,124,1.326535282,0.994901462,0,1689,349.9333333,621.0564118,385711.0667,0,0,0,1,0,0,0,0,0,374.9285714,46.75,812.5,172,0,0,0,0,0,0,8,374,6,4875,8192,30016,7,20,301824.0,0.0,301824,301824,5728920.0,0.0,5728920,5728920,BENIGN
53181,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,4171,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
